date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:57	373712/373712	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2009:41:00%20GMT	https://www.w3schools.com/sql/	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/sql/index.html	(from )
10:40:57	111/111	---M-Z	200	added ('OK')	text/plain	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/robots.txt		(from )
10:40:58	6369/6369	---M--	200	added ('OK')	image/png	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/images/w3schools_logo_436_2.png	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/images/w3schools_logo_436_2.png	(from https://www.w3schools.com/sql/)
10:40:58	3065/3065	---M--	200	added ('OK')	image/png	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/apple-touch-icon.png	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/apple-touch-icon.png	(from https://www.w3schools.com/sql/)
10:40:58	1408/1408	---M--	200	added ('OK')	image/png	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/favicon-32x32.png	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/favicon-32x32.png	(from https://www.w3schools.com/sql/)
10:40:58	912/912	---M--	200	added ('OK')	image/png	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/favicon-16x16.png	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/favicon-16x16.png	(from https://www.w3schools.com/sql/)
10:40:59	34835/34835	---M-Z	200	added ('OK')	text/css	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/lib/topnav/main.css?v=1.0.35	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/lib/topnav/main44e3.css	(from https://www.w3schools.com/sql/)
10:40:59	20513/20513	---M-Z	200	added ('OK')	text/css	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/lib/my-learning/main.css?v=1.0.30	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/lib/my-learning/main5ab0.css	(from https://www.w3schools.com/sql/)
10:40:59	34694/34694	---M-Z	200	added ('OK')	text/css	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/lib/pathfinder/main.css?v=1.0.3	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/lib/pathfinder/main2c70.css	(from https://www.w3schools.com/sql/)
10:40:59	74026/74026	---M-Z	200	added ('OK')	text/css	etag:%22023c78b346edb1:0%22	https://www.w3schools.com/lib/w3schools32.css?v=1.0.5	C:/Users/anton/Desktop/https___www.w3schools.com_sql_/www.w3schools.com/lib/w3schools323447.css	(from https://www.w3schools.com/sql/)
